;Identificador do acidente;Identificador do condutor;Estado;Identificador do veículo;Tipo de veículo;Marca do veículo;Envolvido;Estado físico do condutor;Idade;Gênero
17;571786;1269062;SP;1018282;Motocicleta;YAMAHA/FAZER YS250;Condutor;Lesões Leves;41;Masculino
27;571790;1269058;SP;1018280;Automóvel;FIAT/ARGO DRIVE 1.0;Condutor;Ileso;32;Feminino
28;571790;1271025;SP;1018281;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
199;571867;1269372;SP;1018485;Automóvel;FIAT/PUNTO ESSENCE 1.6;Condutor;Lesões Graves;47;Masculino
209;571871;1269410;SP;1018515;Automóvel;HYUNDAI/HB20S 10M VISION;Condutor;Ileso;42;Masculino
211;571873;1269180;SP;1018369;Motocicleta;YAMAHA/FZ25 FAZER;Condutor;Lesões Leves;52;Masculino
212;571873;1269181;SP;1018370;Caminhonete;FIAT/STRADA WORKING;Condutor;Ileso;63;Masculino
233;571885;1269339;SP;1018431;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Graves;25;Masculino
234;571885;1271745;SP;1018465;Micro-ônibus;VW/KOMBI;Condutor;Ileso;40;Masculino
393;571949;1269423;SP;1018523;Caminhão-trator;VOLVO/FH 460 6X2T;Condutor;Lesões Leves;38;Masculino
416;571958;1269391;SP;1018505;Motocicleta;HONDA/CB 300R;Condutor;Lesões Leves;25;Masculino
451;571972;1269357;SP;1018472;Automóvel;FIAT/IDEA ADVENTURE FLEX;Condutor;Óbito;41;Não Informado
464;571978;1269473;SP;1018555;Utilitário;MMC/ECLIPSE CR HPES;Condutor;Ileso;77;Masculino
466;571978;1269474;SP;1018556;Motocicleta;HONDA/CB250F TWISTER ABS;Condutor;Lesões Leves;26;Feminino
518;571999;1269483;SP;1018563;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
520;571999;1269494;SP;1018570;Motocicleta;HONDA/CG 160 START;Condutor;Lesões Leves;26;Masculino
602;572030;1269641;SP;1018656;Automóvel;FIAT/MOBI LIKE;Condutor;Lesões Leves;39;Feminino
605;572031;1269637;SP;1018653;Caminhão-trator;M.BENZ/ACTROS 2548S;Condutor;Ileso;45;Masculino
606;572031;1269638;SP;1018654;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Graves;44;Masculino
640;572047;1269651;SP;1018659;Automóvel;GM/CELTA 4P SPIRIT;Condutor;Ileso;24;Feminino
641;572047;1269652;SP;1018660;Motocicleta;HONDA/CG 125 TITAN KS;Condutor;Ileso;24;Masculino
709;572078;1270240;SP;1018789;Motocicleta;HONDA/CG 160 START;Condutor;Lesões Graves;23;Masculino
710;572078;1270238;SP;1018790;Automóvel;FIAT/ARGO DRIVE 1.0;Condutor;Ileso;26;Masculino
785;572104;1269945;SP;1018830;Automóvel;GM/CELTA 4P LIFE;Condutor;Ileso;26;Masculino
786;572104;1269944;SP;1018831;Camioneta;I/CITROEN JUMPY AL6 MIS;Condutor;Ileso;51;Masculino
787;572104;1270447;SP;1019157;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
