;Identificador do acidente;Data;Dia da semana;Horário;Estado;BR;km;Município;Causa do acidente;Tipo do acidente;Gravidade do acidente;Fase do dia;Sentido da via;Condição do tempo;Tipo de pista;Traçado da via;uso_solo;Número de passageiros;Número de cavaleiro;Número de condutor;Número de pedestre
10;571786;2024-01-01;segunda-feira;03:00:00;SP;101.0;28.4;UBATUBA;Condutor Dormindo;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Simples;Reta;Rural;0;0;1;0
14;571790;2024-01-01;segunda-feira;02:50:00;SP;101.0;41.0;UBATUBA;Reação tardia ou ineficiente do condutor;Colisão com objeto;Sem Vítimas;Plena Noite;Crescente;Ensolarado;Simples;Curva;Rural;0;0;2;0
82;571867;2024-01-01;segunda-feira;12:20:00;SP;116.0;161.0;JACAREI;Ausência de reação do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Múltipla;Reta;Rural;1;0;1;0
86;571871;2024-01-01;segunda-feira;13:00:00;SP;116.0;90.6;PINDAMONHANGABA;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Com Vítimas Fatais;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;1;1
87;571873;2024-01-01;segunda-feira;13:20:00;SP;116.0;273.0;EMBU DAS ARTES;Velocidade Incompatível;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
98;571885;2024-01-01;segunda-feira;13:40:00;SP;101.0;36.0;UBATUBA;Ultrapassagem Indevida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Simples;Interseção de Vias;Rural;0;0;2;0
149;571949;2024-01-01;segunda-feira;18:10:00;SP;116.0;550.0;BARRA DO TURVO;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Simples;Curva;Rural;0;0;1;0
158;571958;2024-01-01;segunda-feira;18:15:00;SP;116.0;102.0;PINDAMONHANGABA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Anoitecer;Decrescente;Ensolarado;Dupla;Reta;Rural;1;0;1;0
171;571972;2024-01-01;segunda-feira;18:30:00;SP;381.0;40.0;ATIBAIA;Ausência de reação do condutor;Colisão com objeto;Com Vítimas Fatais;Anoitecer;Decrescente;Ensolarado;Dupla;"Aclive;Reta;Em Obras";Urbano;0;0;1;0
177;571978;2024-01-01;segunda-feira;20:00:00;SP;116.0;230.0;SAO PAULO;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Não Informado;Múltipla;"Em Obras;Reta;Interseção de Vias";Urbano;1;0;2;0
